,inferred mb weight,true mb weight,subject,inferred discount,true discount,inferred mf weight,true mf weight,inferred learning rate,true learning rate
0,2.119356,5.1076775,0,0.66907555,0.5248482,2.8198862,5.653427,0.810797,0.95118594
1,2.242354,2.276743,1,0.5481422,0.6541133,2.7884836,1.865186,0.56648,0.56110144
2,3.4386997,0.34212577,2,0.5968254,0.7821077,4.0390425,2.1499348,0.096485175,0.023122668
3,4.8394637,5.552926,3,0.24880396,0.19074607,2.3398013,4.084594,0.48328683,0.5236906
4,1.6415049,1.4252068,4,0.48180506,0.5107977,2.1765773,2.5147486,0.77404773,0.8686566
5,4.6637487,5.516715,5,0.25058568,0.12371361,1.8942946,3.0242786,0.58138436,0.6310891
6,1.1264583,1.9370774,6,0.38302058,0.5052996,2.7255523,2.2657535,0.41056922,0.46530467
7,1.2294875,1.2539703,7,0.2441657,0.21015209,1.242547,0.5808327,0.59332126,0.4402253
8,3.4141343,3.0624595,8,0.71134526,0.54294044,4.1510625,5.844768,0.33285144,0.32254177
9,3.9548833,4.775964,9,0.3707584,0.8906394,3.3002632,0.17914224,0.10140799,0.018467724
10,1.3350023,2.32697,10,0.7480874,0.841102,3.508147,3.0951827,0.79507625,0.95338243
11,2.2319882,2.1779401,11,0.69678444,0.68515533,3.9474645,4.736062,0.27995312,0.28550965
12,1.7707914,3.1361654,12,0.784333,0.810298,4.170545,5.6125364,0.43561378,0.505438
13,0.8995376,0.68377984,13,0.10595618,0.084620655,2.4011064,2.1203752,0.15898852,0.14710665
14,1.7427392,2.3245919,14,0.2312437,0.14194942,1.129115,1.3595588,0.750145,0.94941956
